Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0eW1qPRpYEOhivcuNhpqzn,"Totally Blue","Georgie","Twin Shadow",2025-03-14,183779,41,mmr4r23xnc6oh1c77lysfbqg4,2025-03-21T13:44:16Z,"","Dom Recs",0.355,0.236,11,-9.777,1,0.0347,0.716,0.008,0.1,0.251,124.042,4
5U0U5yYXmFDlguWdk8kpv1,"Good Times","Georgie","Twin Shadow",2025-03-14,176582,38,mmr4r23xnc6oh1c77lysfbqg4,2025-03-21T13:44:16Z,"","Dom Recs",0.541,0.414,9,-4.492,1,0.0301,0.668,0.000374,0.107,0.546,157.936,4
7yZnudvNop0nP8DrHxAxBF,"As Soon As You Can","Georgie","Twin Shadow",2025-03-14,225384,37,mmr4r23xnc6oh1c77lysfbqg4,2025-03-21T13:44:16Z,"","Dom Recs",0.315,0.258,10,-12.039,0,0.0431,0.722,0.00165,0.109,0.187,77.793,4
67I1Z6RFau36Uh4FeXpUur,"Funny Games","Georgie","Twin Shadow",2025-03-14,142702,35,mmr4r23xnc6oh1c77lysfbqg4,2025-03-21T13:44:16Z,"","Dom Recs",0.452,0.437,2,-9.821,1,0.0671,0.762,0.0941,0.0994,0.322,145.989,4
3nd5lvsXMNxK8ch0Q52vNN,"Geor(g.i.e.)","Georgie","Twin Shadow",2025-03-14,95696,35,mmr4r23xnc6oh1c77lysfbqg4,2025-03-21T13:44:16Z,"","Dom Recs",0.504,0.163,9,-17.813,1,0.0332,0.989,0.928,0.0997,0.647,78.907,4
6CAj2vqi5G7kspgHjoZOEL,"You Already Know","Georgie","Twin Shadow",2025-03-14,267272,35,mmr4r23xnc6oh1c77lysfbqg4,2025-03-21T13:44:16Z,"","Dom Recs",0.312,0.256,1,-13.219,1,0.0369,0.848,0.0464,0.113,0.112,129.795,1
5xTQr4EBkvCAfFbzijQyku,"Maybe It's Time","Georgie","Twin Shadow",2025-03-14,231836,35,mmr4r23xnc6oh1c77lysfbqg4,2025-03-21T13:44:16Z,"","Dom Recs",0.593,0.284,2,-10.152,1,0.0418,0.88,0.0785,0.0881,0.491,147.146,4
2Jx7KdtSvVULw2vo9l1QwP,"Emily","Georgie","Twin Shadow",2025-03-14,285866,35,mmr4r23xnc6oh1c77lysfbqg4,2025-03-21T13:44:16Z,"","Dom Recs",0.472,0.36,3,-11.116,1,0.0338,0.803,0.318,0.166,0.2,150.029,4
3FjXUjrnGfgwDkEwaNBgPo,"Permanent Feeling","Georgie","Twin Shadow",2025-03-14,166336,35,mmr4r23xnc6oh1c77lysfbqg4,2025-03-21T13:44:16Z,"","Dom Recs",0.563,0.307,10,-7.764,1,0.0339,0.857,0.011,0.148,0.438,100.927,3
6b2o4gSEdo1fweOopY3tZg,"Headless Hero","Georgie","Twin Shadow",2025-03-14,211612,46,mmr4r23xnc6oh1c77lysfbqg4,2025-03-21T13:44:16Z,"","Dom Recs",0.66,0.29,2,-9.593,1,0.065,0.842,0.268,0.111,0.262,93.015,4
